fā,v,lép,FA,,fa,
fānn,n,lépés,FA,,fan,
fā,n,láb,FA,,fa,
foa,v,fordul,FA,láb,faa,
fyái,n,pénisz,FÁ,,fá,
wào,n,valaki gyereke,FÀ,,fà,
fei,adj,puha,FI,,fii,
fyī,n,szőr,FI,,fi,
fyê,n,meleg,FÍ,,fí,
féa,n,"lélek, életerő",FÍ,,fía,
féya,adj,meleg,FÍ,,fíia,
fǐnn,n,választott,FÌ,,fìn,
fyy̌,v,"dönt, választ",FÌ,,fì,
fǐ,n,akarat,FÌ,,fì,
fǐ,v,"visz, akar",FÌ,,fìi,
fȳ,n,tojás,FU,,fu,
wúo,v,üt,FÚ,,fú,
wuo,n,ürülék,FÙ,,fù,
mā,n,"mancs, kéz",MA,,ma,
mái,n,család,MÁ,,má,
mya,v,tartozik vhova > birtokol,MÁ,,má,
mèo,n,elégedettség,MÀ,,màu,
myǎng,interj,igen,MÀ,,màng,
myào,adj,jó,MÀ,,mà,
mǎ,adj,jóllakott,MÀ,,màa,
myī,v,ül $,MI,,mi,
méi,n,testvér,MÍ,,míi,
myê,v,szopik,MÍ,,mí,
mê,adj,tele,MÍ,,mí,
myê,n,tej,MÍ,,mí,
emégh,v,jóllakik,MÍ,,ngímíng,
emégh,adj,"jóllakott, elégedett",MÍ,,ngímíng,
mìa,adj,rugalmas,MÌ,,mìa,
myy̌,n,porc,MÌ,,mì,
mui,n,ragadozó,MU,,mui,
mū,n,"nagy állat, úr, antróp",MU,,mu,
móu,n,tyúk,MÚ,,múu,
mô,v,ül,MÚ,,mú,
màu,n,valaki,MÙ,,mù,
mayào,n,ember (Felis cattus),MÙ,valaki,BR màu yào,
nā,n,öl,NA,,na,
néi,n,anya,NÁ,,ná,
nái,n,anyám,NÁ,,ná,
nǎ,v,tud,NÀ,,nàa,
nào,v,észrevesz,NÀ,,nà,
niào,v,mozog,NÀ,,nài,
nǎnn,n,lény,NÀ,mozgás,nàn,
ngā,n,hát,NGA,,nga,
ghānn,n,hegy,NGA,,ngan,
ái,v,nyal,NGÁ,,ngá,
ghào,v,harap,NGÀ,,ngà,
ghào,v,harap,NGÀ,,ngà,
ghī,n,gömb,NGI,,ngi,
ngī,v,alszik,NGI,,ngi,
ngio,v,összetekeredik,NGI,,ngiu,
ngia,pron,én,NGÍ,,ngía,
ngy̌,n,máj,NGÌ,,ngì,
ngìa,adj,finom,NGÌ,máj,ngìa,
ngǐnn,n,orvosság,NGÌ,máj,ngìn,
ghū,n,béka,NGU,,ngu,
ngô,n,ellenség,NGÚ,,ngú,
úa,adj,beteg,NGÚ,,ngúa,
ói,n,betegség,NGÚ,,ngúi,
ngàu,n,here,NGÙ,,ngù,
nenn,n,vagina,NI,,nini,ninn?
nī,prep,ki,NI,vagina,ni,
nyê,n,"szürkület, hajnal",NÍ,,ní,
néi,n,tér,NÍ,,níi,
nyéa,n,horizont,NÍ,,nía,nyéa
nīgh,n,étel,NÌ,,nìxu,
ny̌,v,eszik,NÌ,,nì,
nū,n,szív,NU,,nu,
nnūy,adj,nagyszerű,NU,,nui $,
nūr,v,mosolyog (dorombol),NU,,nuru $,
nyô,n,szül,NÚ,,nú,$
nyóa,adj,új,NÚ,,núa,$
nói,n,teremt,NÚ,,núi,$
nōgh,n,patkány,NÙ,,nùxu,$
qhā,v,vadászik,QHA,,xa,
hái,n,fej,QHÁ,,xá,
hânn,n,homlok,QHÁ,,xán,
ghào,pron,ki? mi?,QHÀ,,xà,
qhìm,n,"esik, zuhan",QHI,,ximù,
qhio,n,eső,QHI,,xiu,
qhī,v,esik (eső),QHI,,xi,
hê,pron,ti,QHÍ,,xí,
ghy̌,v,fut,QHÌ,,xì,
qhū,n,egér,QHU,,xu,
húo,n,farok,QHÚ,,xú,
hûdh,n,mögött,QHÚ,farok,xúthá,
qhǔ,n,út,QHÙ,"szag, nyom",xùu,
ghàu,n,szag,QHÙ,,xù,
ghǔnn,n,nyom,QHÙ,,xùn,
lā,v,történik,RA,ugrik,ra,$
lā,adj,nagy,RA,ugrik > magas > nagy,ra,$
lā,v,ugrik,RA,,ra,$
lyē,n,"föld, talaj",RÁ,,ráa,$
réi,n,kő,RÁ,,rái,$
rái,n,"dolog, tárgy",RÁ,,rá,$
rào,v,szexel,RÀ,,rà,$
rǎ,n,szexuális aktus,RÀ,,ràa,$
yê,n,hús,RÍ,,rí,$
yy̌,n,kígyó,RÌ,,rì,$
ryǐng,n,"gonosz, ijesztő",RÌ,,rìng,$
līnn,n,éjszaka,RI ,,rin,
lua,v,ás,RU,,rua,
ly̌gh,n,"mélység, szakadék",RU,,rung,$ tone change onomatopoeic
lūy,adj,mély,RU,,ruia,
lūng,adj,mély,RU,,rung,
lūnn,adj,gödör,RI~RU,éjszaka~gödör,run,
rua,adj,fekete,RU,,,
ruó,n,bél,RÚ,,rú,
rǔ,n,száj,RÙ,,rù,
syā,n,harag,SA,,sa,
syā,v,fúj,SA,,sa,
zyā,n,szél,SA,,sa,
syái,n,nappal,SÁ,,sá,
syêa,n,fény,SÁ,,sáa,
zyǎ,n,veréb,SÀ,,sà,
syào,n,lélek,SÀ,,sà,
zyıa,n,megjelenik,SI,bajusz,sia,
syei,v,lát,SI,bajusz,si,
syī,n,bajusz,SI,,si,
syê,v,fél,SÍ,,sí,
syéi,n,félelem,SÍ,,síi,
syy̌,n,hideg,SÌ,,sì,
zyìu,adj,"kevés, szűkös",SÌ,,sìu,
zyìa,adj,"hideg, halott",SÌ,,sìa,
zyū,n,levél,SU,,su,
zyū,v,nő,SU,növény,su,
zyua,n,gyógynövény,SU,,sua,
zyúo,v,szopik,SÚ,,sú,
syàu,v,pisil,SÙ,,sù,
syàu,n,vizelet,SÙ,,sù,
thā,n,karom,THA,,tha,
thái,n,nincs,THÁ,,thá,a dhẏ hatására vette át ezt a jelentést
dhǎ,v,mászik,THÀ,,thà,
thī,n,fióka,THI,,thi,
thê,n,orr,THÍ,,thí,
dhy̌,pron,hol?,THÌ,,thì,
dhū,n,fa,THU,,thu,
dhàu,v,mindjárt,THÙ,,thù,"> az, ott, közel"
dhǎ,int,nem,THÙ,,thàù,
dhúo,n,test,THÚ,,thú,
mā,n,pocok,WA,,wa,
mái,v,hall,WÁ,,wá,
mái,n,fül,WÁ,,wá,
mào,v,megy,WÀ,,wà,
mī,n,csont,WI,,wi,
wê,v,iszik,WÍ,,wé,
my̌,n,rigó,WÌ,,wì,
ū,v,van,WU,áll,wu,
úo,n,fog,WÚ,,wú,úo
uyù,n,hal,WÙ,,wù,ù
wau,n,úszik,WÙ,,wù,
ufyə,v,áll,WU FA,áll láb,wufa,
yoa,n,beszél,YA,,yaa,
yā,n,mond,YA,,ya,
yái,n,nyúl,YÁ,,yá,
yào,n,tüzelő nő,YÀ,,yà,
yī,n,szem,YI,,yi,
yī,v,néz,YI,,yi,
yê,v,"vonul, megy valahova",YÍ,,yí,
yéao,n,hold,YÍ,,yí,$
yéa,adj,fehér,YÍ,nappal,yía,
yìann,n,gyerek,YÌ,,yìan,
yǐnn,n,kamasz gyerek,YÌ,,yìn,
yìu,adj,kicsi,YÌ,,yìu,$
ywann,n,lúd,YU,,yuan,
yū,n,kacsa,YU,,yu,
myô,n,férfi,YÚ,,yú,
yàu,n,vér,YÙ,,yù,
yàu,v,vérzik,YÙ,,yù,
